product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound
Low Drizzle,5,"Not hard, can taste a little of cinnamon, small for kids to consume",3,"Too thin, not enough frosting, needs a stronger cinnamon taste, too small for adult maybe a little bit bigger, not fluffy like a cinnamon roll, thought it was gonna be a version of the cinnamon rolls you find in the refrigerated section in the grocery store you put in the oven.","['hard', 'taste', 'little', 'cinnamon', 'small', 'kid', 'consume']","['thin', 'enough', 'frost', 'need', 'strong', 'cinnamon', 'taste', 'small', 'adult', 'maybe', 'little', 'bit', 'big', 'fluffy', 'like', 'cinnamon', 'roll', 'think', 'gon', 'na', 'version', 'cinnamon', 'roll', 'find', 'refrigerated', 'section', 'grocery', 'store', 'put', 'oven']",0.0762,0.1255
Low Drizzle,8,The softness was absolutely perfect! The overall flavor was pretty close to an baked cinnamon roll so I enjoyed the flavor too.,4,Add a little more cinnamon and make it a tad less sweat.,"['softness', 'absolutely', 'perfect', 'overall', 'flavor', 'pretty', 'close', 'baked', 'cinnamon', 'roll', 'enjoy', 'flavor']","['add', 'little', 'cinnamon', 'make', 'tad', 'less', 'sweat']",0.914,0
High Drizzle,8,The amount of frosting is exactly right,5,The sweetness in the actual roll is a little too much with the right amount of frosting. More cinnamon in the roll and use the sweetness from the icing.,"['amount', 'frost', 'exactly', 'right']","['sweetness', 'actual', 'roll', 'little', 'much', 'right', 'amount', 'frost', 'cinnamon', 'roll', 'use', 'sweetness', 'icing']",0,0.7506
High Drizzle,8,The flavor combo of this cinnamon roll is perfect. The balance of cinnamonvanilla frostingand bread is heavenly.,5,Larger portion and fluffier if possible.,"['flavor', 'combo', 'cinnamon', 'roll', 'perfect', 'balance', 'cinnamon\x92vanilla', 'frosting\x92and', 'bread', 'heavenly']","['large', 'portion', 'fluffier', 'possible']",0.8271,0
Low Drizzle,8,It has a great cinnamon roll taste. It tastes like a cinnamon roll should taste. But it is too sweet.,5,Less sweet. Bigger size and cinnamon sprinkled on top of the frosting.,"['great', 'cinnamon', 'roll', 'taste', 'taste', 'like', 'cinnamon', 'roll', 'taste', 'sweet']","['less', 'sweet', 'big', 'size', 'cinnamon', 'sprinkle', 'top', 'frosting']",0.8074,0.5434
Low Drizzle,7,Bite size actual size my kids would love,4,More frosting less dense,"['bite', 'size', 'actual', 'size', 'kid', 'would', 'love']","['frost', 'less', 'dense']",0.6369,0
High Drizzle,8,Love the frosting portion. It looks like the picture. No disappoinment!,5,Have a Carmel option. Little less dense.,"['love', 'frost', 'portion', 'look', 'like', 'picture', 'disappoinment']","['carmel', 'option', 'little', 'less', 'dense']",0.6996,0
High Drizzle,4,The frosting is fairly tasty and the roll isnt as rubbery as I thought it would be.,2,Needs more more cinnamon,"['frost', 'fairly', 'tasty', 'roll', 'isn\x92t', 'rubbery', 'thought', 'would']","['need', 'cinnamon']",0,0
Low Drizzle,4,The frosting is tasty.,2,More more cinnamon. The roll was a little too dry and chewy.,"['frost', 'tasty']","['cinnamon', 'roll', 'little', 'dry', 'chewy']",0,0
Low Drizzle,1,Nothing,1,Make it an actual cinnamon roll. This is more like a cookie bite.,['nothing'],"['make', 'actual', 'cinnamon', 'roll', 'like', 'cookie', 'bite']",0,0.4201
