product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound
High Drizzle,3,Like the cinnamon and frosting amount and flavor,2,Less dry bigger flakier not so condensed it tastes more like cookie its too chewy,"['like', 'cinnamon', 'frosting', 'amount', 'flavor']","['less', 'dry', 'big', 'flakier', 'condense', 'taste', 'like', 'cookie', 'it\x92s', 'chewy']",0.3612,0.4201
High Drizzle,7,This sample tasted like a cinnamon roll should taste. It left a very pleasant taste in my mouth. It was soft and chewable and the frosting was very good.,3,The texture is more like a soft cookie rather than a cinnamon roll. It does not have the firmness of a cinnamon roll.,"['sample', 'taste', 'like', 'cinnamon', 'roll', 'taste', 'leave', 'pleasant', 'taste', 'mouth', 'soft', 'chewable', 'frosting', 'good']","['texture', 'like', 'soft', 'cookie', 'rather', 'cinnamon', 'roll', 'firmness', 'cinnamon', 'roll']",0.8514,0.4201
Low Drizzle,8,"This sample tastes MORE like a cinnamon roll. While I dont like how the frosting looks, I do think there is enough to support the cinnamon taste and enhance the flavor. It seemed to be slightly more firm and less cookie like.",3,I would make it taller and have a spiral look like a cinnamon roll. It is currently flat and round like a cookie. I would make the frosting look more drippy like a cinnamon roll. The taste is really good.,"['sample', 'taste', 'like', 'cinnamon', 'roll', 'don\x92t', 'like', 'frost', 'look', 'think', 'enough', 'support', 'cinnamon', 'taste', 'enhance', 'flavor', 'seem', 'slightly', 'firm', 'less', 'cookie', 'like']","['would', 'make', 'tall', 'spiral', 'look', 'like', 'cinnamon', 'roll', 'currently', 'flat', 'round', 'like', 'cookie', 'would', 'make', 'frosting', 'look', 'drippy', 'like', 'cinnamon', 'roll', 'taste', 'really', 'good']",0.9228,0.8655
Low Drizzle,8,It was soft and chewy. Cinnamon flavor was perfect.,4,Maybe a little softer with more frosting.,"['soft', 'chewy', 'cinnamon', 'flavor', 'perfect']","['maybe', 'little', 'soft', 'frost']",0.5719,0
High Drizzle,8,I loved the amount of frosting.,4,Make it a bit softer and more moist.,"['loved', 'amount', 'frosting']","['make', 'bit', 'soft', 'moist']",0.5994,0
High Drizzle,6,The texture and chewiness of the roll. I was expecting a dry texture and was pleasantly surprised by the soft texture.,4,Too much frosting and a little too much cinnamon flavor left an after taste.,"['texture', 'chewiness', 'roll', 'expect', 'dry', 'texture', 'pleasantly', 'surprise', 'soft', 'texture']","['much', 'frost', 'little', 'much', 'cinnamon', 'flavor', 'leave', 'taste']",0.6124,0
Low Drizzle,9,There was not an over powering amount of frosting on this mini cinnamon roll.,5,The amount of cinnamon was a little too much for my desire as it was the last flavor left as the after taste.,"['power', 'amount', 'frost', 'mini', 'cinnamon', 'roll']","['amount', 'cinnamon', 'little', 'much', 'desire', 'last', 'flavor', 'leave', 'taste']",0,0.4019
Low Drizzle,7,Flavor and taste was ok,3,Needs to be bigger in size and more fluffier,"['flavor', 'taste', 'ok']","['need', 'big', 'size', 'fluffier']",0.296,0
High Drizzle,7,Taste was good,3,Needs to be bigger in size and fluffy,"['taste', 'good']","['need', 'big', 'size', 'fluffy']",0.4404,0
High Drizzle,9,"The taste was right on. The texture was smooth, and it was very tasty.",5,"Depending on how many you got in a bag, I would think it should be a bit bigger.","['taste', 'right', 'texture', 'smooth', 'tasty']","['depend', 'many', 'get', 'bag', 'would', 'think', 'bit', 'big']",0,0
Low Drizzle,9,I like the concept of a mini cinnamon roll quite a bit. The texture and the amount of moisture were right on.,5,I would add more frosting!,"['like', 'concept', 'mini', 'cinnamon', 'roll', 'quite', 'bit', 'texture', 'amount', 'moisture', 'right']","['would', 'add', 'frost']",0.3612,0
Low Drizzle,3,"Good cinnamon flavor and right level of sweetness, The frosting did not overwhelm it.",3,Texture is like a cookie instead of a roll. It feels like it didnt rise and has that doughy feel when I bite it.,"['good', 'cinnamon', 'flavor', 'right', 'level', 'sweetness', 'frost', 'overwhelm']","['texture', 'like', 'cookie', 'instead', 'roll', 'feel', 'like', 'didn\x92t', 'rise', 'doughy', 'feel', 'bite']",0.7662,0.6124
High Drizzle,4,Looks appealing as you can see the cinnamon and frosting is attractive.,3,Really the size is smaller than mini falling into bite-size category. It has more of a doughy texture and is more like a soft cookie than a roll. This one is almost too sweet without enough cinnamon to balance out.,"['look', 'appeal', 'see', 'cinnamon', 'frost', 'attractive']","['really', 'size', 'small', 'mini', 'fall', 'bitesize', 'category', 'doughy', 'texture', 'like', 'soft', 'cookie', 'roll', 'one', 'almost', 'sweet', 'without', 'enough', 'cinnamon', 'balance']",0.4404,0.6013
High Drizzle,6,The cinnamon flavor I can really taste and liked the frosting not tasting chalky.,3,"less frosting and not as chewy. When I think of cinnamon rolls, I think of fluffy and not chewy. Also I thought the mini cinnamon rolls will be a little bigger. These were micro size.","['cinnamon', 'flavor', 'really', 'taste', 'liked', 'frost', 'taste', 'chalky']","['less', 'frosting', 'chewy', 'think', 'cinnamon', 'roll', 'think', 'fluffy', 'chewy', 'also', 'think', 'mini', 'cinnamon', 'roll', 'little', 'big', 'micro', 'size']",0.4703,0
