product_code,liking,liking_free_text,like_compound,meets_expectation,meets_expectation_free_text,meets_expectation_compound,product_improvement_free_text,prod_improve_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm
Chobani Smooth,7,level of sweetness - not too sugary,0.4939,3,says  full of real fruit  so I expected fruit chunks,0,"more viscous, less runny",0,"['level', 'sweetness', 'sugary']","['say', 'full', 'real', 'fruit', 'expect', 'fruit', 'chunk']","['viscous', 'less', 'runny']"
Yoplait OSY,8,"Creamy, nice strawberry flavor, not too sweet",0.0823,3,"Nothing, very straight forward",-0.2222,More strawberry chunks,0,"['creamy', 'nice', 'strawberry', 'flavor', 'sweet']","['nothing', 'straight', 'forward']","['strawberry', 'chunk']"
Chobani Smooth,3,I liked that the yogurt had more protein than regular yogurt.,0.4215,1,I was surprised that there wasn't an ingredient list of nutrition label on the actual cup of yogurt itself.,0.2263,It's too sour.  It's too thin and runny. It reminds me a little of one of those drinkable yogurts for small children.,0,"['like', 'yogurt', 'protein', 'regular', 'yogurt']","['surprised', 'wasnt', 'ingredient', 'list', 'nutrition', 'label', 'actual', 'cup', 'yogurt']","['sour', 'thin', 'runny', 'remind', 'little', 'one', 'drinkable', 'yogurt', 'small', 'child']"
Yoplait OSY,7,Not sweet. Small globs made seem rich/creamy/thick (like cottage cheese).,-0.357,3,Part almost gelatin taste. Did not have enough flavor.  Why restate non fat/0% milk fat?   Made will real fruit  felt like it was conveying a higher quantity of fruit than in contain.  Preserve yourself  makes it sound like there is something artificial to preserve you by eating.,0.6124,Strawberry pieces seemed limp/overly ripe-mushy texture. Hard to tell yogurt was strawberry flavor-almost a gelatin taste.,-0.1027,"['sweet', 'small', 'glob', 'make', 'seem', 'richcreamythick', 'like', 'cottage', 'cheese']","['part', 'almost', 'gelatin', 'taste', 'enough', 'flavor', 'restate', 'non', 'fat0', 'milk', 'fat', 'make', 'real', 'fruit', 'felt', 'like', 'convey', 'high', 'quantity', 'fruit', 'contain', 'preserve', 'make', 'sound', 'like', 'something', 'artificial', 'preserve', 'eat']","['strawberry', 'piece', 'seem', 'limpoverly', 'ripemushy', 'texture', 'hard', 'tell', 'yogurt', 'strawberry', 'flavoralmost', 'gelatin', 'taste']"
Chobani Smooth,7,Thin-ness of yogurt. Smoothness.,0,4,Did not expect the thin-ness of the yogurt or the taste to be so sweet. Would have liked nutritional value and label on package including calorie count.,0.8429,Make it not so sweet! Add more fruit.,-0.5288,"['thinness', 'yogurt', 'smoothness']","['expect', 'thinness', 'yogurt', 'taste', 'sweet', 'would', 'like', 'nutritional', 'value', 'label', 'package', 'include', 'calorie', 'count']","['make', 'sweet', 'add', 'fruit']"
Yoplait OSY,7,The strawberry flavor and the fruit pieces.,0,4,Just a little sour-not sure how that would be communicated on the package.,0.2551,It is a little sour tasting.,0,"['strawberry', 'flavor', 'fruit', 'piece']","['little', 'sournot', 'sure', 'would', 'communicate', 'package']","['little', 'sour', 'tasting']"
Chobani Smooth,7,Creamy and rich,0.5574,3,"No change to packaging, although I didn't know Chobani made a non-Greek yogurt. I see the packaging says classic but I had initially missed it. not sure how I would recommend to change it to increase awareness.",0.0918,"There was a slight tanginess or bitterness before the sweet finish. It's not that it needs more sweetness, but there is a noticeable tang to it.",0.3392,"['creamy', 'rich']","['change', 'packaging', 'although', 'didnt', 'know', 'chobani', 'make', 'nongreek', 'yogurt', 'see', 'packaging', 'say', 'classic', 'initially', 'missed', 'sure', 'would', 'recommend', 'change', 'increase', 'awareness']","['slight', 'tanginess', 'bitterness', 'sweet', 'finish', 'need', 'sweetness', 'noticeable', 'tang']"
Yoplait OSY,8,"creamy texture, strawberry flavor good",0.4404,3,Nothing really was what I expected,0,"less amount of strawberries to mix in, seeds bothered me a little",-0.3182,"['creamy', 'texture', 'strawberry', 'flavor', 'good']","['nothing', 'really', 'expect']","['less', 'amount', 'strawberry', 'mix', 'seed', 'bother', 'little']"
Chobani Smooth,7,The extra creamy consistency,0,4,"nothing. The package was very clear,     When I said I would like it thicker, I prefer yougurts that are not thin in texure, even those that are not greek.",0.659,a little thicker,0,"['extra', 'creamy', 'consistency']","['nothing', 'package', 'clear', 'say', 'would', 'like', 'thicker', 'prefer', 'yougurts', 'thin', 'texure', 'even', 'greek']","['little', 'thicker']"
Yoplait OSY,8,"I like the thickness, taste, texture, strawberry chunks and not just strawberry flavor. I like that it has a lot of protein and only 100 calories. I also like that it is a natural color and not artificially dyed.",0.8402,4,I had had this yogurt before so I knew what to expect but I paid closer attention this time and it tasted even better with a strong strawberry flavor.,0.8519,Have the size of the container fit the amount of yogurt so either make the cup smaller or put more yogurt in the cup.,0.3612,"['like', 'thickness', 'taste', 'texture', 'strawberry', 'chunk', 'strawberry', 'flavor', 'like', 'lot', 'protein', '100', 'calorie', 'also', 'like', 'natural', 'color', 'artificially', 'dye']","['yogurt', 'know', 'expect', 'pay', 'closer', 'attention', 'time', 'taste', 'even', 'well', 'strong', 'strawberry', 'flavor']","['size', 'container', 'fit', 'amount', 'yogurt', 'either', 'make', 'cup', 'small', 'put', 'yogurt', 'cup']"
