product_code,liking,liking_free_text,like_compound,meets_expectation,meets_expectation_free_text,meets_expectation_compound,product_improvement_free_text,prod_improve_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm
Yoplait OSY,8,Strawberry flavor was perfect & I liked the thick consistency.,0.7579,4,I would change the price.  It seems too high for just one.,0,Make the serving size larger for that price.,0,"['strawberry', 'flavor', 'perfect', 'like', 'thick', 'consistency']","['would', 'change', 'price', 'seem', 'high', 'one']","['make', 'serve', 'size', 'large', 'price']"
Chobani Smooth,8,I love how it had a strong taste in flavor.,0.8176,4,I like how the yogurt inside is presented on the outside package.,0.3612,What I would change is how heavy tasting the yogurt is. To make it better I would make it more smooth than heavy.,0.4404,"['love', 'strong', 'taste', 'flavor']","['like', 'yogurt', 'inside', 'present', 'outside', 'package']","['would', 'change', 'heavy', 'taste', 'yogurt', 'make', 'good', 'would', 'make', 'smooth', 'heavy']"
Yoplait OSY,8,I love the texture and flavor of the yogurt.,0.6369,4,Nothing. i think the package describes the product very well.,0.3384,I shake the product before I open it because it helps mix it up.,0.2263,"['love', 'texture', 'flavor', 'yogurt']","['nothing', 'think', 'package', 'describes', 'product', 'well']","['shake', 'product', 'open', 'help', 'mix']"
Chobani Smooth,6,Creamy texture.  Good portion size.,0.4404,3,Nothing.,0,Add more strawberry flavor.,0,"['creamy', 'texture', 'good', 'portion', 'size']",['nothing'],"['add', 'strawberry', 'flavor']"
Yoplait OSY,8,"It tasted really good.  Not too heavy of a strawberry taste, just enough",0.4927,5,I thought that the fruit at the bottom might have a bad taste or texture so I was apprehensive at first.  But it wastn at all,-0.3071,nothing,0,"['taste', 'really', 'good', 'heavy', 'strawberry', 'taste', 'enough']","['think', 'fruit', 'bottom', 'might', 'bad', 'taste', 'texture', 'apprehensive', 'first', 'wastn']",['nothing']
Chobani Smooth,8,"It's smooth, creamy and easily blend able (mixing in the fruit with yogurt part).",0.34,5,SO smooth and creamy,0,Specify the Amount of protein on the package,0,"['smooth', 'creamy', 'easily', 'blend', 'able', 'mixing', 'fruit', 'yogurt', 'part']","['smooth', 'creamy']","['specify', 'amount', 'protein', 'package']"
Yoplait OSY,8,I enjoy the fruit at the bottom and overall the taste creamy and smooth.,0.4939,3,Everything is what I expected,0,Nothing,0,"['enjoy', 'fruit', 'bottom', 'overall', 'taste', 'creamy', 'smooth']","['everything', 'expect']",['nothing']
Chobani Smooth,8,"the strawberry flavor was deep , II also texture - thick but not too thick",0,4,the labeling was ok,0.296,the packaging I hate the ridge on the inside,-0.5719,"['strawberry', 'flavor', 'deep', 'ii', 'also', 'texture', 'thick', 'thick']","['label', 'ok']","['package', 'hate', 'ridge', 'inside']"
Yoplait OSY,6,It has good flavor and good texture with the yogurt.,0.7003,2,Make the strawberry flavor better and add more to the bottom of the cup.,0.4404,The strawberry flavor wasn't strong enough.,-0.4023,"['good', 'flavor', 'good', 'texture', 'yogurt']","['make', 'strawberry', 'flavor', 'well', 'add', 'bottom', 'cup']","['strawberry', 'flavor', 'wasnt', 'strong', 'enough']"
Chobani Smooth,9,I like that it tastes smooth and creamy. The taste is really nice and I also like the thickness/density.,0.796,5,,0,,0,"['like', 'taste', 'smooth', 'creamy', 'taste', 'really', 'nice', 'also', 'like', 'thicknessdensity']",['nan'],['nan']
Yoplait OSY,7,I like the strawberry flavor and it is the right amount of sweet flavor. Creamy too.,0.6705,3,,0,Nothing,0,"['like', 'strawberry', 'flavor', 'right', 'amount', 'sweet', 'flavor', 'creamy']",['nan'],['nothing']
Chobani Smooth,7,"all natural, good flavor, smooth and creamy",0.6597,3,sweeter than expected,0,fruit pieces,0,"['natural', 'good', 'flavor', 'smooth', 'creamy']","['sweeter', 'expect']","['fruit', 'piece']"
Yoplait OSY,7,The taste,0,3,,0,The appearance of the strawberries - I'd make them look fresher,0,['taste'],['nan'],"['appearance', 'strawberry', 'id', 'make', 'look', 'fresher']"
Chobani Smooth,6,The flavor is pretty good. I like that it's high in protein and lower in fat and sugar than regular greek yogurt.,0.7506,3,I thought it would have a thicker texture.,0,Thicker texture. Even less sweet. More strawberry pieces.,0.4033,"['flavor', 'pretty', 'good', 'like', 'high', 'protein', 'lower', 'fat', 'sugar', 'regular', 'greek', 'yogurt']","['thought', 'would', 'thicker', 'texture']","['thicker', 'texture', 'even', 'less', 'sweet', 'strawberry', 'piece']"
Yoplait OSY,7,The yogurt is thick. The fruit flavor is good.,0.4404,3,Packaging seemed fine.,0.2023,Not the biggest fan of fruit on the bottom style yogurt.,-0.2411,"['yogurt', 'thick', 'fruit', 'flavor', 'good']","['packaging', 'seem', 'fine']","['big', 'fan', 'fruit', 'bottom', 'style', 'yogurt']"
Chobani Smooth,7,I liked how creamy it was and how the taste was consistent throughout the product. Like there wasn't any spots where it tasted like bland yogurt.,0.7783,2,The packaging looked so cheap. It looked exactly like anything Target brand and you can barely see the Chobani logo. I would not pick out this yogurt in stores because I would probably walk by it and think it was Target starting a yogurt.,0.3612,"I would make it a tiny bit more thick in consistency, I liked the creamy texture but it was almost slippery which is not my favorite in a yogurt. I disliked greatly the packaging. If they did one big change, it would have to be the packaging.",-0.7068,"['like', 'creamy', 'taste', 'consistent', 'throughout', 'product', 'like', 'wasnt', 'spot', 'taste', 'like', 'bland', 'yogurt']","['packaging', 'look', 'cheap', 'look', 'exactly', 'like', 'anything', 'target', 'brand', 'barely', 'see', 'chobani', 'logo', 'would', 'pick', 'yogurt', 'store', 'would', 'probably', 'walk', 'think', 'target', 'start', 'yogurt']","['would', 'make', 'tiny', 'bit', 'thick', 'consistency', 'like', 'creamy', 'texture', 'almost', 'slippery', 'favorite', 'yogurt', 'dislike', 'greatly', 'package', 'one', 'big', 'change', 'would', 'package']"
Yoplait OSY,8,"I liked the strawberry flavor, it's very sweet, not tart,creamy.",0.7264,5,Sweetness-sweeter than expected.,0,Nothing,0,"['like', 'strawberry', 'flavor', 'sweet', 'tartcreamy']","['sweetnesssweeter', 'expect']",['nothing']
Chobani Smooth,8,"thickness of the yogurt, and the taste",0,5,.,0,possibly add more fruit chunks,0,"['thickness', 'yogurt', 'taste']",[],"['possibly', 'add', 'fruit', 'chunk']"
Yoplait OSY,8,"It had good flavor, creamy, no aftertaste that was bad",-0.4215,3,The package seems pretty clear - it was expected.,0.7003,"Less sugar if possible, I'm not a huge fan of the chunks of fruit - wish they mixed in better",0.3971,"['good', 'flavor', 'creamy', 'aftertaste', 'bad']","['package', 'seem', 'pretty', 'clear', 'expect']","['less', 'sugar', 'possible', 'im', 'huge', 'fan', 'chunk', 'fruit', 'wish', 'mixed', 'good']"
Chobani Smooth,8,"creamy and the texture, good tast",0.4404,4,the taste flavor of the fruit,0,nothing,0,"['creamy', 'texture', 'good', 'tast']","['taste', 'flavor', 'fruit']",['nothing']
Yoplait OSY,8,"It's smooth and taste's like the natural strawberry flavor. Also, it had a good aftertaste.",0.7845,4,I didn't realize how much protein was in the product. That's a good thing and should stand out more on the package.,0.4404,Increase the size of the package.,0.3182,"['smooth', 'taste', 'like', 'natural', 'strawberry', 'flavor', 'also', 'good', 'aftertaste']","['didnt', 'realize', 'much', 'protein', 'product', 'thats', 'good', 'thing', 'stand', 'package']","['increase', 'size', 'package']"
Chobani Smooth,7,I liked the thickness and flavor of it.,0.4215,4,"Smoother, thick yogurt, with great flavor.",0.6249,Add bigger chunks of strawberries to it.,0,"['liked', 'thickness', 'flavor']","['smoother', 'thick', 'yogurt', 'great', 'flavor']","['add', 'big', 'chunk', 'strawberry']"
Yoplait OSY,7,DIDN'T LEAVE A WEIRD AFTER TASTE IN MY MOUTH & IT WASN'T TOO TART,0.1695,2,NOT AS FRUITY AS I WOULD HAVE LIKED,0.4215,"MORE FRUIT, LESS SUGAR & A LITTLE TOO THICK.",0,"['didnt', 'leave', 'weird', 'taste', 'mouth', 'wasnt', 'tart']","['fruity', 'would', 'like']","['fruit', 'le', 'sugar', 'little', 'thick']"
Chobani Smooth,9,"It has a very smooth texture, not powdery or clumpy.  I like that it only has natural coloringing.  I like that there isn't fruit on the bottom or fruit pieces in it, so I don't have to mix it before I eat it...I can just eat it!  It's not too sweet and it has the ideal strawberry flavor to it.  It's thick, so it feels like I'm eating greek yogurt.  The price is a good deal.",0.9203,5,"I like that the packaging is colorful and playful and has all the information on it.  However the word  classic  doesn't resonate with me.  I've seen this before where companies use  original  or  classic  and if I wasn't a user with their original recipe, then I don't care.  Perhaps,  natural  would be a good option.  Or maybe a coined term can be made.   greek-like.   While I do like that the packaging is colorful, it doesn't match the almost white product inside, but I think that's OK.  If I saw someone holding that bright red container, I would want to know what they are eating.  And as mentioned above I like the product as is.",0.95,Nothing.,0,"['smooth', 'texture', 'powdery', 'clumpy', 'like', 'natural', 'color', 'like', 'isnt', 'fruit', 'bottom', 'fruit', 'piece', 'dont', 'mix', 'eat', 'iti', 'eat', 'sweet', 'ideal', 'strawberry', 'flavor', 'thick', 'feel', 'like', 'im', 'eat', 'greek', 'yogurt', 'price', 'good', 'deal']","['like', 'package', 'colorful', 'playful', 'information', 'however', 'word', 'classic', 'doesnt', 'resonate', 'ive', 'see', 'company', 'use', 'original', 'classic', 'wasnt', 'user', 'original', 'recipe', 'dont', 'care', 'perhaps', 'natural', 'would', 'good', 'option', 'maybe', 'coin', 'term', 'make', 'greeklike', 'like', 'package', 'colorful', 'doesnt', 'match', 'almost', 'white', 'product', 'inside', 'think', 'thats', 'ok', 'saw', 'someone', 'hold', 'bright', 'red', 'container', 'would', 'want', 'know', 'eat', 'mention', 'like', 'product']",['nothing']
Chobani Smooth,3,Creamy,0,2,Very fake flavor taste - almost chemical.,-0.5256,Add fruit pieces,0,['creamy'],"['fake', 'flavor', 'taste', 'almost', 'chemical']","['add', 'fruit', 'piece']"
Chobani Smooth,9,I like the flavor and the smoothness,0.3612,5,The flavor was unexpected,0,More strawberries,0,"['like', 'flavor', 'smoothness']","['flavor', 'unexpected']",['strawberry']
Chobani Smooth,7,"packaging is very appealing, tasted pretty good for low fat",0.6444,3,Was very filling  Replace word Smooth on top of package with low fat classic yogurt - make low fat more visible,-0.34,Have more of a strawberry taste,0,"['package', 'appeal', 'taste', 'pretty', 'good', 'low', 'fat']","['fill', 'replace', 'word', 'smooth', 'top', 'package', 'low', 'fat', 'classic', 'yogurt', 'make', 'low', 'fat', 'visible']","['strawberry', 'taste']"
Chobani Smooth,6,"Wide container cup design, real fruit pieces, texture, 25% less sugar 2x more protein advertised on product, Chobani smooth low-fat classic yogurt description",0,3,.,0,lower price,-0.296,"['wide', 'container', 'cup', 'design', 'real', 'fruit', 'piece', 'texture', '25', 'less', 'sugar', '2x', 'protein', 'advertise', 'product', 'chobani', 'smooth', 'lowfat', 'classic', 'yogurt', 'description']",[],"['low', 'price']"
Chobani Smooth,5,Creamy texture.  Strawberry flavor.,0,3,Nothing wrong with the packaging.,0.3724,"It had a slight, IDK, chalky taste?",-0.2808,"['creamy', 'texture', 'strawberry', 'flavor']","['nothing', 'wrong', 'packaging']","['slight', 'idk', 'chalky', 'taste']"
Chobani Smooth,7,"Flavor, consistancy",0,3,No nutrition label,-0.296,Color was not appealing,0,"['flavor', 'consistancy']","['nutrition', 'label']","['color', 'appeal']"
Chobani Smooth,8,"creamy, smooth",0,3,needs more real fruit,0,add more strawberry flavor and strawberries,0,"['creamy', 'smooth']","['need', 'real', 'fruit']","['add', 'strawberry', 'flavor', 'strawberry']"
Chobani Smooth,8,the creaminess of the yogurt.,0,4,nothing,0,oth,0,"['creaminess', 'yogurt']",['nothing'],['oth']
Chobani Smooth,8,"It is nice, smooth and thick texture.",0.4215,4,It is low-fat but taste like regular yogurt.,0.5023,"If it can be a little bit sweeter without adding more gram of sugar, that would be better.",0.4404,"['nice', 'smooth', 'thick', 'texture']","['lowfat', 'taste', 'like', 'regular', 'yogurt']","['little', 'bit', 'sweeter', 'without', 'add', 'gram', 'sugar', 'would', 'better']"
Chobani Smooth,7,It is very smooth and creamy.,0,2,Not very much flavor and is a little too runny.,0,It needs to have pieces of strawberries added for more flavor as well as to have a slightly thicker consistency.,0.3321,"['smooth', 'creamy']","['much', 'flavor', 'little', 'runny']","['need', 'piece', 'strawberry', 'add', 'flavor', 'well', 'slightly', 'thick', 'consistency']"
Chobani Smooth,8,"great flavor, smooth and easy to eat",0.7906,5,add nutrition information,0,,0,"['great', 'flavor', 'smooth', 'easy', 'eat']","['add', 'nutrition', 'information']",['nan']
Chobani Smooth,3,I liked the shape of the bowl/container.  It was easier to eat out of and I felt like I had more yogurt than the Yoplait I usually have.,0.7964,2,"It was not sweet enough.  I guess the package said less sugar, but I didn't realize it would impact the taste that much.",-0.1877,It was not as sweet as I had hoped.  There were some bits of yogurt that were not blended in so I'd get a glob here or there.  The globs were not berries.,0.031,"['liked', 'shape', 'bowlcontainer', 'easy', 'eat', 'felt', 'like', 'yogurt', 'yoplait', 'usually']","['sweet', 'enough', 'guess', 'package', 'say', 'less', 'sugar', 'didnt', 'realize', 'would', 'impact', 'taste', 'much']","['sweet', 'hop', 'bit', 'yogurt', 'blend', 'id', 'get', 'glob', 'glob', 'berry']"
Chobani Smooth,8,Right amount of strawberry flavor.,0,4,Something to make you more aware that it isn't greek yogurt.,0,Nothing,0,"['right', 'amount', 'strawberry', 'flavor']","['something', 'make', 'aware', 'isnt', 'greek', 'yogurt']",['nothing']
Chobani Smooth,8,"Perfect size for a snack, also easy to use container for children. I refilled it for my little one and there was no spills.",0.6597,5,The package could say something like  not like other yogurts it's smooth .,0.6124,"Add fruit bits inside the yogurt, really tiny so they are in every bit.",0,"['perfect', 'size', 'snack', 'also', 'easy', 'use', 'container', 'child', 'refill', 'little', 'one', 'spill']","['package', 'could', 'say', 'something', 'like', 'like', 'yogurt', 'smooth']","['add', 'fruit', 'bit', 'inside', 'yogurt', 'really', 'tiny', 'every', 'bit']"
Chobani Smooth,7,"It wasn't overly sweet, had a light texture to it.",-0.357,4,The look of the consistency of the yogurt.,0,"Add a bit more flavor, maybe add some strawberry pieces in it.",0,"['wasnt', 'overly', 'sweet', 'light', 'texture']","['look', 'consistency', 'yogurt']","['add', 'bit', 'flavor', 'maybe', 'add', 'strawberry', 'piece']"
Chobani Smooth,9,"very smooth, great taste.  Love the tartness, it's a little subtle but definitely there",0.8148,4,"the tartness, in a way  classic  probably conveys this but not outright.",0,A little more strawberry flavor and/or sweetness.  Not a lot but just a touch,0.2732,"['smooth', 'great', 'taste', 'love', 'tartness', 'little', 'subtle', 'definitely']","['tartness', 'way', 'classic', 'probably', 'conveys', 'outright']","['little', 'strawberry', 'flavor', 'andor', 'sweetness', 'lot', 'touch']"
Chobani Smooth,7,Flavor,0,3,,0,Sweeter,0,['flavor'],['nan'],['sweeter']
Chobani Smooth,8,texture and taste,0,5,how smooth the yogurt was,0,have some types that offer a mix in of some kind-granola?,0,"['texture', 'taste']","['smooth', 'yogurt']","['type', 'offer', 'mix', 'kindgranola']"
Chobani Smooth,4,the creamy texture,0,3,na,0,more strawberry flavor,0,"['creamy', 'texture']",['na'],"['strawberry', 'flavor']"
Chobani Smooth,7,it is smooth and texture is good,0.4404,3,na,0,flavor it needs to be sweeter as its semi tart,0,"['smooth', 'texture', 'good']",['na'],"['flavor', 'need', 'sweeter', 'semi', 'tart']"
Chobani Smooth,9,taste and smoothness,0,5,nothing,0,nothing,0,"['taste', 'smoothness']",['nothing'],['nothing']
Chobani Smooth,8,The texture is smooth and it was very flavorful. The strawberries were good too,0.4404,5,At first I thought it would be very plain because it was a low fat and because the design reminded me of Greek yogurt,-0.2732,Strawberries more chunky,0,"['texture', 'smooth', 'flavorful', 'strawberry', 'good']","['first', 'think', 'would', 'plain', 'low', 'fat', 'design', 'remind', 'greek', 'yogurt']","['strawberry', 'chunky']"
Chobani Smooth,8,"good taste, smooth consistency. not too tart",0.4404,4,nothing,0,more strawberries,0,"['good', 'taste', 'smooth', 'consistency', 'tart']",['nothing'],['strawberry']
Chobani Smooth,7,Tastes pretty good. I like strawberry.,0.8225,4,I liked it a little more than I thought I would.,0.4215,It would be nice if there wasn't so much liquid on top when I open it. Kind of grosses me out.,0.4215,"['taste', 'pretty', 'good', 'like', 'strawberry']","['like', 'little', 'thought', 'would']","['would', 'nice', 'wasnt', 'much', 'liquid', 'top', 'open', 'kind', 'gross']"
Chobani Smooth,8,Smooth texture and good strawberry taste.,0.4404,5,Not sour or tart.    Rich flavor.,0.5574,add more fruit pieces.,0,"['smooth', 'texture', 'good', 'strawberry', 'taste']","['sour', 'tart', 'rich', 'flavor']","['add', 'fruit', 'piece']"
Chobani Smooth,8,It is smooth and creamy. It has a good strawberry flavor.,0.4404,4,It was very smooth and creamy.,0,The strawberry flavor could have been a little bit stronger.,0.323,"['smooth', 'creamy', 'good', 'strawberry', 'flavor']","['smooth', 'creamy']","['strawberry', 'flavor', 'could', 'little', 'bit', 'strong']"
Chobani Smooth,7,It tasted like greek yogurt but it wasn't. It wasn't quite as thick as a greek yogurt.,0.1901,2,"I think I thought it would have more of a standard yogurt taste even tho it was made by Chobani. I don't mind greek yogurt but if a person did not like it, they might be disappointed in the flavor.",-0.7792,I'm sure everyone knows Chobani as Greek Yogurt but maybe somehow change the name so it also mentions it is a greek yogurt flavor.,0.1655,"['taste', 'like', 'greek', 'yogurt', 'wasnt', 'wasnt', 'quite', 'thick', 'greek', 'yogurt']","['think', 'think', 'would', 'standard', 'yogurt', 'taste', 'even', 'tho', 'make', 'chobani', 'dont', 'mind', 'greek', 'yogurt', 'person', 'like', 'might', 'disappoint', 'flavor']","['im', 'sure', 'everyone', 'know', 'chobani', 'greek', 'yogurt', 'maybe', 'somehow', 'change', 'name', 'also', 'mention', 'greek', 'yogurt', 'flavor']"
Chobani Smooth,7,Lot's of strawberry flavor and was not tart at all.,0,5,Had a good taste for a less sugar product.,0.4404,Looked a little funny when first opened. Also a little pricey.,0.3832,"['lot', 'strawberry', 'flavor', 'tart']","['good', 'taste', 'less', 'sugar', 'product']","['look', 'little', 'funny', 'first', 'open', 'also', 'little', 'pricey']"
Chobani Smooth,7,"Good taste, not bland.",0.4404,3,Because of the name I expected it to be really smooth and have a good texture and it really didn't.,0.4404,the texture was kind of griddy. I wish it would be more smooth.,0.4019,"['good', 'taste', 'bland']","['name', 'expect', 'really', 'smooth', 'good', 'texture', 'really', 'didnt']","['texture', 'kind', 'griddy', 'wish', 'would', 'smooth']"
Chobani Smooth,3,The creaminess,0,2,"The package said  classic yogurt  but doesn't taste like classic yogurt to me at all (which I would consider Yoplait, Dannon, etc).",-0.395,"Better flavor (stronger strawberry flavor), more strawberry chunks.  I don't like the smell or aftertaste -- it's bitter, not sweet.",-0.5408,['creaminess'],"['package', 'say', 'classic', 'yogurt', 'doesnt', 'taste', 'like', 'classic', 'yogurt', 'would', 'consider', 'yoplait', 'dannon', 'etc']","['well', 'flavor', 'strong', 'strawberry', 'flavor', 'strawberry', 'chunk', 'dont', 'like', 'smell', 'aftertaste', 'bitter', 'sweet']"
Chobani Smooth,7,#NAME?,0,3,I thought the packaging was very appealing.,0,#NAME?,0,['name'],"['think', 'packaging', 'appeal']",['name']
Chobani Smooth,7,creamy texture,0,3,include greek yougurt on label info.,0,,0,"['creamy', 'texture']","['include', 'greek', 'yougurt', 'label', 'info']",['nan']
Chobani Smooth,8,It's texture and taste,0,4,"I thought the packaging was good.  I would have liked to have seen the ingredients listed.  If it was on the cover, I tossed it.",0.6908,I would add more fruit,0,"['texture', 'taste']","['think', 'packaging', 'good', 'would', 'like', 'see', 'ingredient', 'list', 'cover', 'toss']","['would', 'add', 'fruit']"
Chobani Smooth,8,"Creamy,lots of fruit",0,4,That it was regular yogurt and not Greek yogurt,0,"Fill cup fuller,cup was a little under 3/4 full",0,"['creamylots', 'fruit']","['regular', 'yogurt', 'greek', 'yogurt']","['fill', 'cup', 'fullercup', 'little', '34', 'full']"
Chobani Smooth,7,It was mostly smooth. I got 2 small chunks. I like the 11 gm of protein. It's lowfat.,0.3612,3,"The package should say SMOOTH AND THICK, not classic smooth.",0,"It's too thick, almost glue-like. It's not sweet enough for a snack crave. It's fine a a nutritional breakfast or a quick meal. It looks bland.",-0.1729,"['mostly', 'smooth', 'get', '2', 'small', 'chunk', 'like', '11', 'gm', 'protein', 'lowfat']","['package', 'say', 'smooth', 'thick', 'classic', 'smooth']","['thick', 'almost', 'gluelike', 'sweet', 'enough', 'snack', 'crave', 'fine', 'nutritional', 'breakfast', 'quick', 'meal', 'look', 'bland']"
Chobani Smooth,2,not lumpy,0,1,"The container being 1/2 full was the first surprise, the second surprise was the fact that the yogurt was gray in color.  Adding more strawberries would make it more pink.  Don't use food coloring.  I added a couple strawberries and suddenly it was pink.",0.4939,"Needs more fruit!  I had to add 2 strawberries to be able to taste the strawberry flavor.    Also, the container was 1/2 full so I suggest using a smaller container or fill the existing container.  I think a smaller container is a better idea.",0.4926,['lumpy'],"['container', '12', 'full', 'first', 'surprise', 'second', 'surprise', 'fact', 'yogurt', 'gray', 'color', 'add', 'strawberry', 'would', 'make', 'pink', 'dont', 'use', 'food', 'coloring', 'add', 'couple', 'strawberry', 'suddenly', 'pink']","['need', 'fruit', 'add', '2', 'strawberry', 'able', 'taste', 'strawberry', 'flavor', 'also', 'container', '12', 'full', 'suggest', 'use', 'small', 'container', 'fill', 'exist', 'container', 'think', 'small', 'container', 'well', 'idea']"
Chobani Smooth,8,This product was creamy and a great color.,0.6249,2,There was nothing unexpected.  I might add a little more sweetner as it was a bit tart.,0,It was very tart.  and I wasn't sure I could take the aftertaste,-0.2411,"['product', 'creamy', 'great', 'color']","['nothing', 'unexpected', 'might', 'add', 'little', 'sweetner', 'bit', 'tart']","['tart', 'wasnt', 'sure', 'could', 'take', 'aftertaste']"
Chobani Smooth,3,creamy,0,3,too much red on outside of container,0,the creamy-ness,0,['creamy'],"['much', 'red', 'outside', 'container']",['creamyness']
Chobani Smooth,6,good strawberry flavor,0.4404,3,no changes,-0.296,aftertaste,0,"['good', 'strawberry', 'flavor']",['change'],['aftertaste']
Chobani Smooth,9,I really like how smooth and creamy it is.,0.4201,5,"The smooth and creamy is right on! The packaging is truthful, no change needed.",0.2714,I would add bigger pieces of strawberry.,0,"['really', 'like', 'smooth', 'creamy']","['smooth', 'creamy', 'right', 'package', 'truthful', 'change', 'need']","['would', 'add', 'big', 'piece', 'strawberry']"
Chobani Smooth,3,smell and color,0,3,I wouldn't change anything with the packaging,0,add more strawberry,0,"['smell', 'color']","['wouldnt', 'change', 'anything', 'packaging']","['add', 'strawberry']"
Chobani Smooth,7,"I thought that the taste was very good, not too sweet.",0.1811,3,"Packaging stated  full of Real Fruit , none visible. I was also surprised to see that the package contained 2 servings. This seems misleading as this would likely be eaten all at once.",-0.2023,I would like it to be thicker and have pieces of fruit. The consistency seemed thin. A larger selection of flavors to choose from would also be good.,0.6597,"['think', 'taste', 'good', 'sweet']","['packaging', 'state', 'full', 'real', 'fruit', 'none', 'visible', 'also', 'surprise', 'see', 'package', 'contain', '2', 'serving', 'seem', 'mislead', 'would', 'likely', 'eat']","['would', 'like', 'thicker', 'piece', 'fruit', 'consistency', 'seem', 'thin', 'large', 'selection', 'flavor', 'choose', 'would', 'also', 'good']"
Chobani Smooth,7,Nice flavor like the smooth texture very creamy.,0.6486,4,The flavor was quite good for being a low fat product,0.2716,Could use a little more real fruit to enhance the flavor.  The color was pale not very pleasing to the eye.  Seemed to have a little bitter after taste.,-0.6705,"['nice', 'flavor', 'like', 'smooth', 'texture', 'creamy']","['flavor', 'quite', 'good', 'low', 'fat', 'product']","['could', 'use', 'little', 'real', 'fruit', 'enhance', 'flavor', 'color', 'pale', 'please', 'eye', 'seem', 'little', 'bitter', 'taste']"
Chobani Smooth,7,was tasty,0,3,a little thin for yogurt,0,make it thicker,0,['tasty'],"['little', 'thin', 'yogurt']","['make', 'thicker']"
Chobani Smooth,3,Attractive packaging and easy open container,0.7003,2,The flavor was very sour tasting,0,More strawberry flavor and add some fruit chunks,0,"['attractive', 'packaging', 'easy', 'open', 'container']","['flavor', 'sour', 'tasting']","['strawberry', 'flavor', 'add', 'fruit', 'chunk']"
Chobani Smooth,5,I liked the creamy smoothness-thick without being pasty,0.4215,3,I expected it to be tart and it wasn't at all,0,"more strawberry chunks, and more strawberry flavor",0,"['like', 'creamy', 'smoothnessthick', 'without', 'pasty']","['expect', 'tart', 'wasnt']","['strawberry', 'chunk', 'strawberry', 'flavor']"
Chobani Smooth,8,the smoothness of the texture,0,4,good packaging,0.4404,make it a little less tart,0,"['smoothness', 'texture']","['good', 'packaging']","['make', 'little', 'less', 'tart']"
Chobani Smooth,6,Good fruit flavor.  Wasn't overly sweet.,0.1078,3,I wouldn't change anything on the packaging.,0,Would taste better with even more berry flavor.  It was a little too runny.,0.4404,"['good', 'fruit', 'flavor', 'wasnt', 'overly', 'sweet']","['wouldnt', 'change', 'anything', 'packaging']","['would', 'taste', 'good', 'even', 'berry', 'flavor', 'little', 'runny']"
Chobani Smooth,8,texture is very creamy  has a nice strawberry flavor,0.4703,4,I thought there would be chunks of strawberries in it,0,add fruit pieces,0,"['texture', 'creamy', 'nice', 'strawberry', 'flavor']","['thought', 'would', 'chunk', 'strawberry']","['add', 'fruit', 'piece']"
Chobani Smooth,9,"Great tasting, Chunks of strawberries, smooth texture and no bad after taste.",-0.1531,5,Flavor.  Much better than I expected it to taste.  The packaging is nice and bright colored.,0.8225,Add more chucks of strawberries.,0,"['great', 'taste', 'chunk', 'strawberry', 'smooth', 'texture', 'bad', 'taste']","['flavor', 'much', 'well', 'expect', 'taste', 'packaging', 'nice', 'bright', 'color']","['add', 'chuck', 'strawberry']"
Chobani Smooth,8,I liked the strawberry flavor and the little tiny chunks of strawberries in it .,0.4215,3,"I thought the packaging was very good , honest and represented exactly what was inside.",0.7764,I would add granola to this yogurt to make it taste better.,0.4404,"['like', 'strawberry', 'flavor', 'little', 'tiny', 'chunk', 'strawberry']","['think', 'package', 'good', 'honest', 'represent', 'exactly', 'inside']","['would', 'add', 'granola', 'yogurt', 'make', 'taste', 'well']"
Chobani Smooth,8,"Good amount of strawberry flavor, very creamy and smooth",0.4404,5,I was expecting it to taste more like greek yogurt because of the container but it tasted like regular yogurt which I prefer.,0.6794,Add more strawberry chunks,0,"['good', 'amount', 'strawberry', 'flavor', 'creamy', 'smooth']","['expect', 'taste', 'like', 'greek', 'yogurt', 'container', 'taste', 'like', 'regular', 'yogurt', 'prefer']","['add', 'strawberry', 'chunk']"
Chobani Smooth,6,"creaminess, smoothness",0,3,not much fruit in it,0,It could have a stronger strawberry flavor and put chunks of strawberries in it.,0.3818,"['creaminess', 'smoothness']","['much', 'fruit']","['could', 'stronger', 'strawberry', 'flavor', 'put', 'chunk', 'strawberry']"
