product,Question,Response,Sentiment Score,Response value,lemm
High Drizzle,Liking,"Better texture to a real cinnamon roll, not as strong cinnamon",5.11,6,"['well', 'texture', 'real', 'cinnamon', 'roll', 'strong', 'cinnamon']"
High Drizzle,Liking,The taste is enjoyable and sweet,70.96,7,"['taste', 'enjoyable', 'sweet']"
Low Drizzle,Liking,The taste was good and not too sweet,10.78,7,"['taste', 'good', 'sweet']"
Low Drizzle,Liking,The overall flavor.;  good mix of cinnamon flavor and dough,44.04,9,"['overall', 'flavor', 'good', 'mix', 'cinnamon', 'flavor', 'dough']"
High Drizzle,Liking,"The amount of cinnamon ,frosting , and dough made a really good mix",49.27,9,"['amount', 'cinnamon', 'frost', 'dough', 'make', 'really', 'good', 'mix']"
High Drizzle,Liking,Overall this hit the make with the right combo of flavor and amount of each flavor,0,9,"['overall', 'hit', 'make', 'right', 'combo', 'flavor', 'amount', 'flavor']"
Low Drizzle,Liking,Good flavor,44.04,7,"['good', 'flavor']"
Low Drizzle,Liking,I really liked the taste. Thought that it would be less taste than original size but it packed in the right amount of sweetness. I loved that it was chewy but not too chewy. Wish it was a little bit bigger in diameter,88.41,3,"['really', 'liked', 'taste', 'think', 'would', 'less', 'taste', 'original', 'size', 'pack', 'right', 'amount', 'sweetness', 'love', 'chewy', 'chewy', 'wish', 'little', 'bit', 'big', 'diameter']"
High Drizzle,Liking,I liked that there was more frosting as not only do I want the cinnamon flavor but wanted the frosting just equal,19.96,8,"['like', 'frosting', 'want', 'cinnamon', 'flavor', 'want', 'frost', 'equal']"
High Drizzle,Liking,Good bite size amount.,44.04,5,"['good', 'bite', 'size', 'amount']"
Low Drizzle,Liking,Not too much frosting,0,6,"['much', 'frosting']"
Low Drizzle,Liking,The amount of cinnamon,0,7,"['amount', 'cinnamon']"
High Drizzle,Liking,That it is moist.,0,6,['moist']
High Drizzle,Liking,It was a tasty snack and I could see wanting this driving on trips in the car.  Just enough and not too much.,0,8,"['tasty', 'snack', 'could', 'see', 'want', 'drive', 'trip', 'car', 'enough', 'much']"
Low Drizzle,Liking,There is about the right amount of frosting but it seems a little more like a cookie and less like a cinnamon roll.  As a cookie it seems undone and gooey.,76.11,7,"['right', 'amount', 'frost', 'seem', 'little', 'like', 'cookie', 'le', 'like', 'cinnamon', 'roll', 'cookie', 'seem', 'undone', 'gooey']"
Low Drizzle,Liking,"I liked that it was like a cookie, not a cinnamon  roll.",64.86,5,"['like', 'like', 'cookie', 'cinnamon', 'roll']"
High Drizzle,Liking,I do not like this. It tastes more artificial than the last one.,-27.55,6,"['like', 'taste', 'artificial', 'last', 'one']"
High Drizzle,Liking,Size good for quick breakfast,44.04,6,"['size', 'good', 'quick', 'breakfast']"
Low Drizzle,Liking,Size,0,5,['size']
Low Drizzle,Liking,Taste was dry not very appealing,0,5,"['taste', 'dry', 'appealing']"
High Drizzle,Liking,The frosting,0,4,['frost']
High Drizzle,Liking,"I could eat the whole roll in one bite, and it wasnt to big for my mouth to do so. Perfect size",69.48,9,"['could', 'eat', 'whole', 'roll', 'one', 'bite', 'wasn\x92t', 'big', 'mouth', 'perfect', 'size']"
Low Drizzle,Liking,Can eat the whole roll in one bite,0,8,"['eat', 'whole', 'roll', 'one', 'bite']"
Low Drizzle,Liking,I enjoyed the flavor of the cinnamon roll.  The size was about right for a mini cinnamon roll.,51.06,4,"['enjoy', 'flavor', 'cinnamon', 'roll', 'size', 'right', 'mini', 'cinnamon', 'roll']"
High Drizzle,Liking,I like the flavor and sweetness of the cinnamon roll.  The cinnamon roll had a generous amount of frosting.,84.02,7,"['like', 'flavor', 'sweetness', 'cinnamon', 'roll', 'cinnamon', 'roll', 'generous', 'amount', 'frosting']"
High Drizzle,Liking,Cinnamon flavor was good,44.04,2,"['cinnamon', 'flavor', 'good']"
Low Drizzle,Liking,Good flavor,44.04,3,"['good', 'flavor']"
Low Drizzle,Liking,The bite sized cinnamon flavor with sweet after tastes.,45.88,8,"['bite', 'sized', 'cinnamon', 'flavor', 'sweet', 'taste']"
High Drizzle,Liking,Great flavor notes of cinnamon with the right amount of sweetness.,80.74,9,"['great', 'flavor', 'note', 'cinnamon', 'right', 'amount', 'sweetness']"
High Drizzle,Liking,I didnt like anything. It was disgusting.,-22.63,1,"['didn\x92t', 'like', 'anything', 'disgust']"
Low Drizzle,Liking,This is very disappointing. I miss the dough. Gross.,-81.62,1,"['disappoint', 'miss', 'dough', 'gross']"
Low Drizzle,Liking,The flavor was great and it was the taste of a cinnamon roll,62.49,2,"['flavor', 'great', 'taste', 'cinnamon', 'roll']"
High Drizzle,Liking,I really like the amount of sweetness because its not overly sweet and the cinnamon flavor was just enough,54.43,2,"['really', 'like', 'amount', 'sweetness', 'it\x92s', 'overly', 'sweet', 'cinnamon', 'flavor', 'enough']"
High Drizzle,Liking,It reminded me of Christmas meaning the flavor. Maybe this should be a fall or winter special like the pumpkin spice.,63.69,6,"['remind', 'christmas', 'mean', 'flavor', 'maybe', 'fall', 'winter', 'special', 'like', 'pumpkin', 'spice']"
Low Drizzle,Liking,Nothing really it just didn't do it for me,0,5,"['nothing', 'really', 'didnt']"
Low Drizzle,Liking,I liked nothing about it.,42.15,1,"['like', 'nothing']"
High Drizzle,Liking,Nothing. Cinnamon flavor was ok.,29.6,1,"['nothing', 'cinnamon', 'flavor', 'ok']"
High Drizzle,Liking,The clusters of cinnamon were great as well as the flavor.,73.51,8,"['cluster', 'cinnamon', 'great', 'well', 'flavor']"
Low Drizzle,Liking,The icing looked better than being drenched in it.,44.04,7,"['icing', 'look', 'well', 'drench']"
Low Drizzle,Liking,Frosting and cinnamon flavor,0,4,"['frost', 'cinnamon', 'flavor']"
High Drizzle,Liking,Like lots off frosting and size,36.12,7,"['like', 'lot', 'frost', 'size']"
High Drizzle,Liking,The flavor is spot on with like a Cinnabon product ~ which is yummy,70.96,4,"['flavor', 'spot', 'like', 'cinnabon', 'product', 'yummy']"
Low Drizzle,Liking,"I think the cinnamon flavor is good but otherwise, I dont like this product much",63.69,2,"['think', 'cinnamon', 'flavor', 'good', 'otherwise', 'don\x92t', 'like', 'product', 'much']"
Low Drizzle,Liking,The taste is good. Not the same texture of a normal cinnamon roll but I still liked it very much.,68.58,8,"['taste', 'good', 'texture', 'normal', 'cinnamon', 'roll', 'still', 'like', 'much']"
High Drizzle,Liking,The texture,0,8,['texture']
High Drizzle,Liking,"The size and flavor. More specifically, the bite size and rich but sweet flavor.",74.3,7,"['size', 'flavor', 'specifically', 'bite', 'size', 'rich', 'sweet', 'flavor']"
Low Drizzle,Liking,The texture and moistness.,0,6,"['texture', 'moistness']"
Low Drizzle,Liking,"The taste and size. The flavor was what I expected and the size was good, about two bites each.",44.04,4,"['taste', 'size', 'flavor', 'expect', 'size', 'good', 'two', 'bite']"
High Drizzle,Liking,The frosting was a better proportion. The flavor was good. Lots of cinnamon.,70.03,3,"['frost', 'good', 'proportion', 'flavor', 'good', 'lot', 'cinnamon']"
High Drizzle,Liking,The flavor of the icing,0,3,"['flavor', 'icing']"
Low Drizzle,Liking,Size,0,4,['size']
Low Drizzle,Liking,How dense in texture this was. Very good.,49.27,6,"['dense', 'texture', 'good']"
High Drizzle,Liking,"Flavorful, full of texture, freshness and just the right amount of frosting.",0,9,"['flavorful', 'full', 'texture', 'freshness', 'right', 'amount', 'frost']"
High Drizzle,Liking,Appearance was nice and consistent. Good consistency between both rolls.,69.08,7,"['appearance', 'nice', 'consistent', 'good', 'consistency', 'roll']"
Low Drizzle,Liking,Great combination of flavor and texture. Packaging looks reflective of product,62.49,8,"['great', 'combination', 'flavor', 'texture', 'packaging', 'look', 'reflective', 'product']"
High Drizzle,Change,Make it a bit bigger and/or fluffier,0,4,"['make', 'bit', 'big', 'andor', 'fluffier']"
Low Drizzle,Change,It needs way more flavor and more frosting,0,3,"['need', 'way', 'flavor', 'frosting']"
Low Drizzle,Change,The size. Much too small could be bigger,0,2,"['size', 'much', 'small', 'could', 'big']"
High Drizzle,Change,The size. Could be bigger,0,4,"['size', 'could', 'big']"
High Drizzle,Change,Make it bigger.,0,3,"['make', 'big']"
Low Drizzle,Change,Make it bigger and less chewy. More like a cinnamon roll,36.73,3,"['make', 'big', 'less', 'chewy', 'like', 'cinnamon', 'roll']"
Low Drizzle,Change,More frosting.,0,5,['frost']
High Drizzle,Change,Larger size.,0,5,"['large', 'size']"
High Drizzle,Change,"The taste is very artificial, it is way too dense, very chewy and fake tasting",-52.09,1,"['taste', 'artificial', 'way', 'dense', 'chewy', 'fake', 'tasting']"
Low Drizzle,Change,"Fake artificial flavor, not the texture of a cinnamon roll",-47.67,1,"['fake', 'artificial', 'flavor', 'texture', 'cinnamon', 'roll']"
Low Drizzle,Change,More cinnamon throughout and not clumpy pieces. Also too strong of cinnamon,51.06,3,"['cinnamon', 'throughout', 'clumpy', 'piece', 'also', 'strong', 'cinnamon']"
High Drizzle,Change,A tad more cinnamon but keep same amount of frosting to create a more balanced flavor.,39.19,3,"['tad', 'cinnamon', 'keep', 'amount', 'frost', 'create', 'balance', 'flavor']"
High Drizzle,Change,The texture is dry and gritty.  The roll does not taste fresh.  The cinnamon flavor is overwhelming.,-24.11,1,"['texture', 'dry', 'gritty', 'roll', 'taste', 'fresh', 'cinnamon', 'flavor', 'overwhelm']"
Low Drizzle,Change,Very dry and not flavorful enough.  When making desserts you want to make them flavorful and not just sweet.,-29.14,1,"['dry', 'flavorful', 'enough', 'make', 'dessert', 'want', 'make', 'flavorful', 'sweet']"
Low Drizzle,Change,Add a little more sweetness,49.64,3,"['add', 'little', 'sweetness']"
High Drizzle,Change,Add a little more cinnamon in.,0,4,"['add', 'little', 'cinnamon']"
High Drizzle,Change,"Way too much cinnamon flavor, it leaves an aftertaste Im not a fan of.",-24.11,4,"['way', 'much', 'cinnamon', 'flavor', 'leave', 'aftertaste', 'i\x92m', 'fan']"
Low Drizzle,Change,"I like frosting, so I might drizzle a little more on",36.12,5,"['like', 'frost', 'might', 'drizzle', 'little']"
Low Drizzle,Change,Add more frosting. Make it less like a cookie and more like a cinnamon roll. Cinnamon rolls are soft. Make it bigger.,52.9,1,"['add', 'frost', 'make', 'less', 'like', 'cookie', 'like', 'cinnamon', 'roll', 'cinnamon', 'roll', 'soft', 'make', 'big']"
High Drizzle,Change,Add more frosting. Make bigger and softer.,0,1,"['add', 'frost', 'make', 'big', 'softer']"
High Drizzle,Change,"Make a little fluffier, less dense.",0,4,"['make', 'little', 'fluffy', 'less', 'dense']"
Low Drizzle,Change,"More frosting, add sweetness.",53.67,2,"['frost', 'add', 'sweetness']"
Low Drizzle,Change,I would like it to look more like a traditional cinnamon roll and have less of a cookie texture.,61.24,2,"['would', 'like', 'look', 'like', 'traditional', 'cinnamon', 'roll', 'less', 'cookie', 'texture']"
High Drizzle,Change,I wished it looked more like a traditional cinnamon roll. I also would prefer less frosting.,42.01,2,"['wish', 'look', 'like', 'traditional', 'cinnamon', 'roll', 'also', 'would', 'prefer', 'less', 'frost']"
High Drizzle,Change,"Reduce the amount of cinnamon flavor, I found it to be overpowering to the point of being unable to taste anything else.",0,4,"['reduce', 'amount', 'cinnamon', 'flavor', 'find', 'overpower', 'point', 'unable', 'taste', 'anything', 'else']"
Low Drizzle,Change,I would make it slightly more moist and make the cinnamon a little less visible. The cinnamon almost looked like raisins in this sample.,30.08,4,"['would', 'make', 'slightly', 'moist', 'make', 'cinnamon', 'little', 'less', 'visible', 'cinnamon', 'almost', 'look', 'like', 'raisin', 'sample']"
High Drizzle,Change,Sweetness-much too sweet and the denseness.,45.88,2,"['sweetnessmuch', 'sweet', 'denseness']"
Low Drizzle,Change,Make it less sweet and more flaky,40.33,2,"['make', 'less', 'sweet', 'flaky']"
Low Drizzle,Change,"Texture was a little too gritty for me, more frosting flavor",0,3,"['texture', 'little', 'gritty', 'frost', 'flavor']"
High Drizzle,Change,Nothing,0,4,['nothing']
Low Drizzle,Change,It needs to be fluffier with a better after taste.,44.04,3,"['need', 'fluffier', 'good', 'taste']"
High Drizzle,Change,It needs to be fluffier and a little bigger.,0,3,"['need', 'fluffier', 'little', 'big']"
High Drizzle,Change,"Fluffier, a little bigger.",0,4,"['fluffier', 'little', 'big']"
Low Drizzle,Change,Thicker/ fluffier,0,4,"['thicker', 'fluffier']"
Low Drizzle,Change,I would change the texture and the sizs,0,3,"['would', 'change', 'texture', 'sizs']"
High Drizzle,Change,Less dry bigger flakier not so condensed it tastes more like cookie its too chewy,42.01,2,"['less', 'dry', 'big', 'flakier', 'condense', 'taste', 'like', 'cookie', 'it\x92s', 'chewy']"
High Drizzle,Change,The texture is more like a soft cookie rather than a cinnamon roll. It does not have the firmness of a cinnamon roll.,42.01,3,"['texture', 'like', 'soft', 'cookie', 'rather', 'cinnamon', 'roll', 'firmness', 'cinnamon', 'roll']"
Low Drizzle,Change,I would make it taller and have a spiral look like a cinnamon roll. It is currently flat and round like a cookie. I would make the frosting look more drippy like a cinnamon roll. The taste is really good.,86.55,3,"['would', 'make', 'tall', 'spiral', 'look', 'like', 'cinnamon', 'roll', 'currently', 'flat', 'round', 'like', 'cookie', 'would', 'make', 'frosting', 'look', 'drippy', 'like', 'cinnamon', 'roll', 'taste', 'really', 'good']"
Low Drizzle,Change,Maybe a little softer with more frosting.,0,4,"['maybe', 'little', 'soft', 'frost']"
High Drizzle,Change,Make it a bit softer and more moist.,0,4,"['make', 'bit', 'soft', 'moist']"
High Drizzle,Change,Too much frosting and a little too much cinnamon flavor left an after taste.,0,4,"['much', 'frost', 'little', 'much', 'cinnamon', 'flavor', 'leave', 'taste']"
Low Drizzle,Change,The amount of cinnamon was a little too much for my desire as it was the last flavor left as the after taste.,40.19,5,"['amount', 'cinnamon', 'little', 'much', 'desire', 'last', 'flavor', 'leave', 'taste']"
Low Drizzle,Change,Needs to be bigger in size and more fluffier,0,3,"['need', 'big', 'size', 'fluffier']"
High Drizzle,Change,Needs to be bigger in size and fluffy,0,3,"['need', 'big', 'size', 'fluffy']"
High Drizzle,Change,"Depending on how many you got in a bag, I would think it should be a bit bigger.",0,5,"['depend', 'many', 'get', 'bag', 'would', 'think', 'bit', 'big']"
Low Drizzle,Change,I would add more frosting!,0,5,"['would', 'add', 'frost']"
Low Drizzle,Change,Texture is like a cookie instead of a roll. It feels like it didnt rise and has that doughy feel when I bite it.,61.24,3,"['texture', 'like', 'cookie', 'instead', 'roll', 'feel', 'like', 'didn\x92t', 'rise', 'doughy', 'feel', 'bite']"
High Drizzle,Change,Really the size is smaller than mini falling into bite-size category. It has more of a doughy texture and is more like a soft cookie than a roll. This one is almost too sweet without enough cinnamon to balance out.,60.13,3,"['really', 'size', 'small', 'mini', 'fall', 'bitesize', 'category', 'doughy', 'texture', 'like', 'soft', 'cookie', 'roll', 'one', 'almost', 'sweet', 'without', 'enough', 'cinnamon', 'balance']"
High Drizzle,Change,"less frosting and not as chewy. When I think of cinnamon rolls, I think of fluffy and not chewy. Also I thought the mini cinnamon rolls will be a little bigger. These were micro size.",0,3,"['less', 'frosting', 'chewy', 'think', 'cinnamon', 'roll', 'think', 'fluffy', 'chewy', 'also', 'think', 'mini', 'cinnamon', 'roll', 'little', 'big', 'micro', 'size']"
Low Drizzle,Change,"Too thin, not enough frosting, needs a stronger cinnamon taste, too small for adult maybe a little bit bigger, not fluffy like a cinnamon roll, thought it was gonna be a version of the cinnamon rolls you find in the refrigerated section in the grocery store you put in the oven.",12.55,3,"['thin', 'enough', 'frost', 'need', 'strong', 'cinnamon', 'taste', 'small', 'adult', 'maybe', 'little', 'bit', 'big', 'fluffy', 'like', 'cinnamon', 'roll', 'think', 'gon', 'na', 'version', 'cinnamon', 'roll', 'find', 'refrigerated', 'section', 'grocery', 'store', 'put', 'oven']"
Low Drizzle,Change,Add a little more cinnamon and make it a tad less sweat.,0,4,"['add', 'little', 'cinnamon', 'make', 'tad', 'less', 'sweat']"
High Drizzle,Change,The sweetness in the actual roll is a little too much with the right amount of frosting. More cinnamon in the roll and use the sweetness from the icing.,75.06,5,"['sweetness', 'actual', 'roll', 'little', 'much', 'right', 'amount', 'frost', 'cinnamon', 'roll', 'use', 'sweetness', 'icing']"
High Drizzle,Change,Larger portion and fluffier if possible.,0,5,"['large', 'portion', 'fluffier', 'possible']"
Low Drizzle,Change,Less sweet. Bigger size and cinnamon sprinkled on top of the frosting.,54.34,5,"['less', 'sweet', 'big', 'size', 'cinnamon', 'sprinkle', 'top', 'frosting']"
Low Drizzle,Change,More frosting less dense,0,4,"['frost', 'less', 'dense']"
High Drizzle,Change,Have a Carmel option. Little less dense.,0,5,"['carmel', 'option', 'little', 'less', 'dense']"
High Drizzle,Change,Needs more more cinnamon,0,2,"['need', 'cinnamon']"
Low Drizzle,Change,More more cinnamon. The roll was a little too dry and chewy.,0,2,"['cinnamon', 'roll', 'little', 'dry', 'chewy']"
Low Drizzle,Change,Make it an actual cinnamon roll. This is more like a cookie bite.,42.01,1,"['make', 'actual', 'cinnamon', 'roll', 'like', 'cookie', 'bite']"
High Drizzle,Change,"Make it a cinnamon roll, not a cookie bite.",0,1,"['make', 'cinnamon', 'roll', 'cookie', 'bite']"
High Drizzle,Change,Less vanilla flavor more cinnemon,0,3,"['less', 'vanilla', 'flavor', 'cinnemon']"
Low Drizzle,Change,It is a little too dense for me,0,3,"['little', 'dense']"
Low Drizzle,Change,Id like it to be a little puffier-more like a cinnamon roll.   I also think it should be a little bigger.,61.24,3,"['i\x92d', 'like', 'little', '\x93puffier\x94more', 'like', 'cinnamon', 'roll', 'also', 'think', 'little', 'big']"
High Drizzle,Change,"Make it puffier and maybe a rolling pattern, like an actual cinnamon roll.",36.12,3,"['make', '\x93puffier\x94', 'maybe', 'roll', 'pattern', 'like', 'actual', 'cinnamon', 'roll']"
High Drizzle,Change,"Less sweet, a little bigger, less frosting",40.33,2,"['less', 'sweet', 'little', 'big', 'less', 'frost']"
Low Drizzle,Change,"Too dense, tastes doughy, too sweet, leaves a fatty residue taste in my mouth",45.88,4,"['dense', 'taste', 'doughy', 'sweet', 'leaf', 'fatty', 'residue', 'taste', 'mouth']"
Low Drizzle,Change,"They r too small. How many would I have to eat to make it into a roll? Why not make the, larger to begin with. Seems like a lot of ,easing around for mini mini rolls",54.23,2,"['r', 'small', 'many', 'would', 'eat', 'make', 'roll', 'make', 'large', 'begin', 'seem', 'like', 'lot', 'ease', 'around', 'mini', 'mini', 'roll']"
High Drizzle,Change,It tastes like fake or imitation cinnamon. Leaves weird aftertaste kinda like the fake aspartame does,-44.04,2,"['taste', 'like', 'fake', 'imitation', 'cinnamon', 'leave', 'weird', 'aftertaste', 'kinda', 'like', 'fake', 'aspartame']"
High Drizzle,Change,"It was much too dense and chewy for me. I expected it to be flakier. Also, it was much more condensed than the picture.",0,3,"['much', 'dense', 'chewy', 'expect', 'flakier', 'also', 'much', 'condense', 'picture']"
Low Drizzle,Change,"The amount of cinnamon makes it somewhat bitter, and theres also a bit of a sourness to the flavor. I would make it flakier, tone down the cinnamon, and add a bit more frosting.",-36.26,3,"['amount', 'cinnamon', 'make', 'somewhat', 'bitter', 'there\x92s', 'also', 'bit', 'sourness', 'flavor', 'would', 'make', 'flaky', 'tone', 'cinnamon', 'add', 'bit', 'frosting']"
Low Drizzle,Change,Maybe make them a little bigger.,0,5,"['maybe', 'make', 'little', 'big']"
High Drizzle,Change,The texture was a little grainy.,0,5,"['texture', 'little', 'grainy']"
High Drizzle,Change,Bigger in size. Less frosting drizzled on top. It tasted a bit too sugary. I couldnt taste the bread as much.,20.23,4,"['big', 'size', 'less', 'frost', 'drizzle', 'top', 'taste', 'bit', 'sugary', 'couldn\x92t', 'taste', 'bread', 'much']"
Low Drizzle,Change,Make it bigger!,0,5,"['make', 'big']"
Low Drizzle,Change,"I would make it more almost cake like, Id add more cinnamon",35.81,2,"['would', 'make', 'almost', 'cake', 'like', 'i\x92d', 'add', 'cinnamon']"
High Drizzle,Change,Id make them bigger so I could have more,0,5,"['i\x92d', 'make', 'big', 'could']"
High Drizzle,Change,It was more of a cookie than I expected. Pic looks fresh baked where the product is actually pre baked,31.82,3,"['cookie', 'expect', 'pic', 'look', 'fresh', 'baked', 'product', 'actually', 'pre', 'bake']"
Low Drizzle,Change,It was a little hard.,-2.76,4,"['little', 'hard']"
Low Drizzle,Change,I would make it LOOK like a cinnamon roll and warm up for a short time.,52.67,1,"['would', 'make', 'look', 'like', 'cinnamon', 'roll', 'warm', 'short', 'time']"
High Drizzle,Change,Warmed up and I wish I got more frosting flavor (cream cheese) with the amount that is on here.,58.59,2,"['warmed', 'wish', 'get', 'frost', 'flavor', 'cream', 'cheese', 'amount']"
High Drizzle,Change,I dont think I would change anything.,0,5,"['don\x92t', 'think', 'would', 'change', 'anything']"
Low Drizzle,Change,Leave it as is,-5.16,5,['leave']
Low Drizzle,Change,Just a little more frosting.,0,4,"['little', 'frosting']"
High Drizzle,Change,A little bigger & a little less cinnamon.,0,4,"['little', 'big', 'little', 'less', 'cinnamon']"
High Drizzle,Change,The texture was terrible,-47.67,2,"['texture', 'terrible']"
Low Drizzle,Change,Could be a bit sweeter,0,4,"['could', 'bite', 'sweet']"
Low Drizzle,Change,"Nothing ,",0,4,['nothing']
High Drizzle,Change,The amount of frosting,0,4,"['amount', 'frosting']"
High Drizzle,Change,The aftertaste it leaves in mouth,0,2,"['aftertaste', 'leave', 'mouth']"
Low Drizzle,Change,More frosting on it,0,4,['frost']
Low Drizzle,Change,Bigger size,0,3,"['big', 'size']"
High Drizzle,Change,Make size bigger,0,4,"['make', 'size', 'big']"
High Drizzle,Change,I like warm cinnamon rolls- was a little too sweet,72.87,2,"['like', 'warm', 'cinnamon', 'roll', 'little', 'sweet']"
Low Drizzle,Change,More frosting,0,3,['frost']
Low Drizzle,Change,Too dense. Needs to be more fluffy,0,3,"['dense', 'need', 'fluffy']"
High Drizzle,Change,Still too dense. Would like it to be more fluffy and soft,36.12,4,"['still', 'dense', 'would', 'like', 'fluffy', 'soft']"
High Drizzle,Change,Make it bigger and call it a cinnamon roll cookie or cake. I expect a cinnamon roll to be hot not cold. The texture is not light and fluffy like a cinnamon roll,36.12,2,"['make', 'big', 'call', 'cinnamon', 'roll', 'cookie', 'cake', 'expect', 'cinnamon', 'roll', 'hot', 'cold', 'texture', 'light', 'fluffy', 'like', 'cinnamon', 'roll']"
Low Drizzle,Change,Add more cinnamon. It is very bland in flavor. This is more of a cookie than a cinnamon roll. It should called something else,0,2,"['add', 'cinnamon', 'bland', 'flavor', 'cookie', 'cinnamon', 'roll', 'call', 'something', 'else']"
Low Drizzle,Change,It was a little chewier than I prefer.   Would like it a little fluffier.,36.12,4,"['little', 'chewy', 'prefer', 'would', 'like', 'little', 'fluffier']"
High Drizzle,Change,I liked this one.  I think they would be a great grab and go breakfast snack for me and my kids,78.45,5,"['like', 'one', 'think', 'would', 'great', 'grab', 'go', 'breakfast', 'snack', 'kid']"
High Drizzle,Change,Less sweet,40.33,3,"['less', 'sweet']"
Low Drizzle,Change,Softer,0,4,['softer']
Low Drizzle,Change,Make them bigger,0,5,"['make', 'big']"
High Drizzle,Change,Too much cinnamon flavor,0,5,"['much', 'cinnamon', 'flavor']"
High Drizzle,Change,I didnt like the crunchiness of the cinnamon,36.12,2,"['didn\x92t', 'like', 'crunchiness', 'cinnamon']"
Low Drizzle,Change,"Not sure, I enjoyed the cinnamon roll as it is.",-56.67,3,"['sure', 'enjoy', 'cinnamon', 'roll']"
Low Drizzle,Change,It doesnt remind me of a cinnamon roll at all and instead is just like a cookie. And it needs more frosting.,36.12,2,"['doesn\x92t', 'remind', 'cinnamon', 'roll', 'instead', 'like', 'cookie', 'need', 'frost']"
High Drizzle,Change,More cinnamon and more layers. Its just a cookie.,0,5,"['cinnamon', 'layer', 'it\x92s', 'cookie']"
High Drizzle,Change,Make softer like traditional cinnamon roll,36.12,5,"['make', 'soft', 'like', 'traditional', 'cinnamon', 'roll']"
Low Drizzle,Change,More cinnamon roll texture,0,5,"['cinnamon', 'roll', 'texture']"
Low Drizzle,Change,Mentioned previously make like rolls,36.12,1,"['mention', 'previously', 'make', 'like', 'roll']"
High Drizzle,Change,Wish it was more like a cinnamon roll not like a mini biscuit wit cinnamon and icing,80.67,3,"['wish', 'like', 'cinnamon', 'roll', 'like', 'mini', 'biscuit', 'wit', 'cinnamon', 'icing']"
High Drizzle,Change,Id make it slightly larger,0,4,"['i\x92d', 'make', 'slightly', 'large']"
Low Drizzle,Change,It had too much cinnamon flavor,0,4,"['much', 'cinnamon', 'flavor']"
Low Drizzle,Change,Frosting dried out and a bit too sweet.  Would like more chunks of cinnamon crunchy bits and less icing.,67.05,3,"['frost', 'dried', 'bit', 'sweet', 'would', 'like', 'chunk', 'cinnamon', 'crunchy', 'bit', 'less', 'ice']"
High Drizzle,Change,Way too much icing. Icing was hard and dry.  Use less icing,-10.27,3,"['way', 'much', 'icing', 'ice', 'hard', 'dry', 'use', 'less', 'icing']"
High Drizzle,Change,A bit bigger and softer,0,3,"['bit', 'big', 'softer']"
Low Drizzle,Change,I would make it a bit bigger and softer.,0,2,"['would', 'make', 'bit', 'big', 'softer']"
Low Drizzle,Change,Maybe a little softer. It was slightly drier. More like a cookie,36.73,5,"['maybe', 'little', 'soft', 'slightly', 'drier', 'like', 'cookie']"
High Drizzle,Change,A little too much frosting. Not terrible but also not needed.,19.67,5,"['little', 'much', 'frosting', 'terrible', 'also', 'need']"
High Drizzle,Change,Too dense.,0,2,['dense']
Low Drizzle,Change,Seems very artificial. I wouldnt waste calories on this,-47.03,2,"['seem', 'artificial', 'wouldn\x92t', 'waste', 'calorie']"
Low Drizzle,Change,It feels a bit too dense. I would want it to be a little lighter.,7.72,4,"['feel', 'bit', 'dense', 'would', 'want', 'little', 'lighter']"
High Drizzle,Change,The density. I wish it were a little bit lighter.,40.19,4,"['density', 'wish', 'little', 'bit', 'lighter']"
High Drizzle,Change,"Less chewy, bigge",0,3,"['less', 'chewy', 'bigge']"
Low Drizzle,Change,"Less chewy, bigger",0,3,"['less', 'chewy', 'big']"
Low Drizzle,Change,"A little more frosting. Or even frosting in the center. Also, it left my mouth with a filmy feeling that I would change.",12.8,4,"['little', 'frost', 'even', 'frost', 'center', 'also', 'leave', 'mouth', 'filmy', 'feeling', 'would', 'change']"
High Drizzle,Change,It was not flavorful - taste was a little bland. The cinnamon sweet flavor needed to be highlighted more.,45.88,2,"['flavorful', 'taste', 'little', 'bland', 'cinnamon', 'sweet', 'flavor', 'need', 'highlight']"
High Drizzle,Change,Maybe a little bigger,0,4,"['maybe', 'little', 'big']"
Low Drizzle,Change,Stronger flavor ingredients- a bit more flavor and frosting.,38.18,4,"['strong', 'flavor', 'ingredient', 'bite', 'flavor', 'frosting']"
Low Drizzle,Change,Seems gritty. Not soft enough. .  More like a chewy cookie.,42.01,1,"['seem', 'gritty', 'soft', 'enough', 'like', 'chewy', 'cookie']"
High Drizzle,Change,Liked the amount of cinnamon flavor in sample Low Drizzle. High Drizzle has more vanilla flavor.,42.15,2,"['liked', 'amount', 'cinnamon', 'flavor', 'sample', 'Low Drizzle', 'High Drizzle', 'vanilla', 'flavor']"
High Drizzle,Change,"Make it a little softer, slightly bigger",0,4,"['make', 'little', 'soft', 'slightly', 'big']"
Low Drizzle,Change,Make it sweeter with more cinnamon flavor. Add a tiny bit more frosting.,0,3,"['make', 'sweeter', 'cinnamon', 'flavor', 'add', 'tiny', 'bit', 'frost']"
Low Drizzle,Change,Maybe slightly less cinnamon,0,3,"['maybe', 'slightly', 'less', 'cinnamon']"
High Drizzle,Change,Maybe slightly bigger,0,3,"['maybe', 'slightly', 'big']"
High Drizzle,Change,Heat it slightly or encourage to do so,46.27,4,"['heat', 'slightly', 'encourage']"
