product,Question,Response,Sentiment Score,Response value,lemm
High Drizzle,Liking,"It was more dense, I dont know if it was cooked longer or what but it taste like a thicker cookie. I love cinnamon so it was perfect and the frosting is just right for kids but as an adult a little too much but not too much to complain about it.",92.23,7,"['dense', 'don\x92t', 'know', 'cook', 'longer', 'taste', 'like', 'thicker', 'cookie', 'love', 'cinnamon', 'perfect', 'frost', 'right', 'kid', 'adult', 'little', 'much', 'much', 'complain']"
High Drizzle,Liking,Easy to eat small enough to fit in mouth or hand,82.25,3,"['easy', 'eat', 'small', 'enough', 'fit', 'mouth', 'hand']"
Low Drizzle,Liking,It taste pretty good.,72.69,7,"['taste', 'pretty', 'good']"
Low Drizzle,Liking,The taste was ok.,29.6,6,"['taste', 'ok']"
High Drizzle,Liking,Taste and flavor,0,8,"['taste', 'flavor']"
High Drizzle,Liking,Portion size,0,6,"['portion', 'size']"
Low Drizzle,Liking,Softness,0,5,['softness']
Low Drizzle,Liking,Great cinnamon flavor,62.49,7,"['great', 'cinnamon', 'flavor']"
High Drizzle,Liking,Overall taste was good,44.04,8,"['overall', 'taste', 'good']"
High Drizzle,Liking,The cinnamon taste and sweetness are nice.,71.84,5,"['cinnamon', 'taste', 'sweetness', 'nice']"
Low Drizzle,Liking,The frosting,0,3,['frost']
Low Drizzle,Liking,Good cinnamon flavor.  Good snack size I know my kids would love.,87.5,7,"['good', 'cinnamon', 'flavor', 'good', 'snack', 'size', 'know', 'kid', 'would', 'love']"
High Drizzle,Liking,"I was surprised. I thought it was going to be overly sweet from the picture but it actually seemed less sweet than the other sample, which I liked.  This one also did not seem as gummy textured it was more fluffy as I prefer.",87.93,8,"['surprised', 'think', 'go', 'overly', 'sweet', 'picture', 'actually', 'seem', 'less', 'sweet', 'sample', 'like', 'one', 'also', 'seem', 'gummy', 'textured', 'fluffy', 'prefer']"
High Drizzle,Liking,Frosting,0,6,['frost']
Low Drizzle,Liking,Taste,0,8,['taste']
Low Drizzle,Liking,Taste easy to eat,44.04,8,"['taste', 'easy', 'eat']"
High Drizzle,Liking,Tastes good soft,44.04,8,"['taste', 'good', 'soft']"
High Drizzle,Liking,I enjoyed the frosting.,51.06,2,"['enjoy', 'frosting']"
Low Drizzle,Liking,It was a good balance of cinnamon and frosting.,44.04,7,"['good', 'balance', 'cinnamon', 'frosting']"
Low Drizzle,Liking,The cinnamon flavor and the size,0,3,"['cinnamon', 'flavor', 'size']"
