product_code,combined_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound,combined_compound
Chobani Smooth,"['smooth', 'creamy', 'easily', 'blend', 'able', 'mixing', 'fruit', 'yogurt', 'part']",0.34,,,0.34
Chobani Original,"['enjoy', 'fruit', 'bottom', 'overall', 'taste', 'creamy', 'smooth']",0.4939,,,0.4939
Chobani Smooth,"['strawberry', 'flavor', 'deep', 'ii', 'also', 'texture', 'thick', 'thick']",0.0,,,0.0
Chobani Original,"['good', 'flavor', 'good', 'texture', 'yogurt']",0.7003,,,0.7003
Chobani Smooth,"['like', 'taste', 'smooth', 'creamy', 'taste', 'really', 'nice', 'also', 'like', 'thicknessdensity']",0.796,,,0.796
Chobani Original,"['like', 'strawberry', 'flavor', 'right', 'amount', 'sweet', 'flavor', 'creamy']",0.6705,,,0.6705
Chobani Smooth,"['natural', 'good', 'flavor', 'smooth', 'creamy']",0.6597,,,0.6597
Chobani Original,['taste'],0.0,,,0.0
Chobani Smooth,"['flavor', 'pretty', 'good', 'like', 'high', 'protein', 'lower', 'fat', 'sugar', 'regular', 'greek', 'yogurt']",0.7506,,,0.7506
Chobani Original,"['yogurt', 'thick', 'fruit', 'flavor', 'good']",0.4404,,,0.4404
Chobani Smooth,"['like', 'creamy', 'taste', 'consistent', 'throughout', 'product', 'like', 'wasnt', 'spot', 'taste', 'like', 'bland', 'yogurt']",0.7783,,,0.7783
Chobani Original,"['like', 'strawberry', 'flavor', 'sweet', 'tartcreamy']",0.7264,,,0.7264
Chobani Smooth,"['thickness', 'yogurt', 'taste']",0.0,,,0.0
Chobani Original,"['good', 'flavor', 'creamy', 'aftertaste', 'bad']",-0.4215,,,-0.4215
Chobani Smooth,"['creamy', 'texture', 'good', 'tast']",0.4404,,,0.4404
Chobani Original,"['smooth', 'taste', 'like', 'natural', 'strawberry', 'flavor', 'also', 'good', 'aftertaste']",0.7845,,,0.7845
Chobani Smooth,"['liked', 'thickness', 'flavor']",0.4215,,,0.4215
Chobani Original,"['didnt', 'leave', 'weird', 'taste', 'mouth', 'wasnt', 'tart']",0.1695,,,0.1695
Chobani Smooth,"['smooth', 'texture', 'powdery', 'clumpy', 'like', 'natural', 'color', 'like', 'isnt', 'fruit', 'bottom', 'fruit', 'piece', 'dont', 'mix', 'eat', 'iti', 'eat', 'sweet', 'ideal', 'strawberry', 'flavor', 'thick', 'feel', 'like', 'im', 'eat', 'greek', 'yogurt', 'price', 'good', 'deal']",0.9203,,,0.9203
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,['creamy'],0.0,,,0.0
Chobani Smooth,"['like', 'flavor', 'smoothness']",0.3612,,,0.3612
Chobani Smooth,"['package', 'appeal', 'taste', 'pretty', 'good', 'low', 'fat']",0.6444,,,0.6444
Chobani Smooth,"['wide', 'container', 'cup', 'design', 'real', 'fruit', 'piece', 'texture', '25', 'less', 'sugar', '2x', 'protein', 'advertise', 'product', 'chobani', 'smooth', 'lowfat', 'classic', 'yogurt', 'description']",0.0,,,0.0
Chobani Smooth,"['creamy', 'texture', 'strawberry', 'flavor']",0.0,,,0.0
Chobani Smooth,"['flavor', 'consistancy']",0.0,,,0.0
Chobani Smooth,"['creamy', 'smooth']",0.0,,,0.0
Chobani Smooth,"['creaminess', 'yogurt']",0.0,,,0.0
Chobani Smooth,"['nice', 'smooth', 'thick', 'texture']",0.4215,,,0.4215
Chobani Smooth,"['smooth', 'creamy']",0.0,,,0.0
Chobani Smooth,"['great', 'flavor', 'smooth', 'easy', 'eat']",0.7906,,,0.7906
Chobani Smooth,"['liked', 'shape', 'bowlcontainer', 'easy', 'eat', 'felt', 'like', 'yogurt', 'yoplait', 'usually']",0.7964,,,0.7964
Chobani Smooth,"['right', 'amount', 'strawberry', 'flavor']",0.0,,,0.0
Chobani Smooth,"['perfect', 'size', 'snack', 'also', 'easy', 'use', 'container', 'child', 'refill', 'little', 'one', 'spill']",0.6597,,,0.6597
Chobani Smooth,"['wasnt', 'overly', 'sweet', 'light', 'texture']",-0.357,,,-0.357
Chobani Smooth,"['smooth', 'great', 'taste', 'love', 'tartness', 'little', 'subtle', 'definitely']",0.8148,,,0.8148
Chobani Smooth,['flavor'],0.0,,,0.0
Chobani Smooth,"['texture', 'taste']",0.0,,,0.0
Chobani Smooth,"['texture', 'taste']",0.0,,,0.0
Chobani Smooth,"['creamy', 'texture']",0.0,,,0.0
Chobani Smooth,"['creamy', 'texture']",0.0,,,0.0
